time(s),ankle_angle(deg),ankle_velocity(deg/s)
0.307500,3.913792,5.949910
0.308000,3.916755,5.926290
0.308500,3.919707,5.902722
0.309000,3.922646,5.879203
0.309500,3.925574,5.855735
0.310000,3.928490,5.832318
0.310500,3.931395,5.808950
0.311000,3.934288,5.785632
0.311500,3.937169,5.762363
0.312000,3.940038,5.739143
0.312500,3.942896,5.715973
0.313000,3.945743,5.692851
0.313500,3.948578,5.669777
0.314000,3.951401,5.646752
0.314500,3.954213,5.623775
0.315000,3.957013,5.600846
0.315500,3.959802,5.577964
0.316000,3.962580,5.555130
0.316500,3.965346,5.532343
0.317000,3.968101,5.509603
0.317500,3.970844,5.486910
0.318000,3.973576,5.464263
0.318500,3.976297,5.441662
0.319000,3.979007,5.419108
0.319500,3.981705,5.396600
0.320000,3.984392,5.374137
0.320500,3.987068,5.351719
0.321000,3.989733,5.329347
0.321500,3.992386,5.307020
0.322000,3.995029,5.284738
0.322500,3.997660,5.262500
0.323000,4.000280,5.240307
0.323500,4.002889,5.218158
0.324000,4.005487,5.196053
0.324500,4.008074,5.173992
0.325000,4.010650,5.151975
0.325500,4.013215,5.130001
0.326000,4.015769,5.108070
0.326500,4.018312,5.086183
0.327000,4.020844,5.064338
0.327500,4.023366,5.042536
0.328000,4.025876,5.020776
0.328500,4.028375,4.999059
0.329000,4.030864,4.977384
0.329500,4.033342,4.955751
0.330000,4.035809,4.934159
0.330500,4.038265,4.912609
0.331000,4.040711,4.891101
0.331500,4.043146,4.869633
0.332000,4.045570,4.848207
0.332500,4.047983,4.826821
0.333000,4.050386,4.805476
0.333500,4.052778,4.784172
0.334000,4.055160,4.762908
0.334500,4.057530,4.741684
0.335000,4.059891,4.720500
0.335500,4.062240,4.699356
0.336000,4.064579,4.678251
0.336500,4.066908,4.657186
0.337000,4.069226,4.636160
0.337500,4.071534,4.615173
0.338000,4.073831,4.594225
0.338500,4.076118,4.573316
0.339000,4.078394,4.552446
0.339500,4.080660,4.531614
0.340000,4.082915,4.510820
0.340500,4.085160,4.490064
0.341000,4.087395,4.469346
0.341500,4.089619,4.448667
0.342000,4.091833,4.428024
0.342500,4.094037,4.407419
0.343000,4.096230,4.386852
0.343500,4.098413,4.366322
0.344000,4.100586,4.345828
0.344500,4.102749,4.325372
0.345000,4.104901,4.304952
0.345500,4.107044,4.284569
0.346000,4.109176,4.264222
0.346500,4.111298,4.243911
0.347000,4.113410,4.223637
0.347500,4.115511,4.203398
0.348000,4.117603,4.183196
0.348500,4.119684,4.163029
0.349000,4.121756,4.142897
0.349500,4.123817,4.122801
0.350000,4.125869,4.102740
0.350500,4.127910,4.082714
0.351000,4.129941,4.062723
0.351500,4.131963,4.042767
0.352000,4.133974,4.022846
0.352500,4.135976,4.002959
0.353000,4.137967,3.983106
0.353500,4.139949,3.963288
0.354000,4.141921,3.943504
0.354500,4.143882,3.923754
0.355000,4.145834,3.904037
0.355500,4.147777,3.884354
0.356000,4.149709,3.864705
0.356500,4.151632,3.845090
0.357000,4.153544,3.825507
0.357500,4.155447,3.805958
0.358000,4.157340,3.786442
0.358500,4.159224,3.766959
0.359000,4.161098,3.747509
0.359500,4.162962,3.728091
0.360000,4.164816,3.708706
0.360500,4.166661,3.689353
0.361000,4.168496,3.670033
0.361500,4.170321,3.650744
0.362000,4.172137,3.631488
0.362500,4.173943,3.612264
0.363000,4.175740,3.593071
0.363500,4.177527,3.573910
0.364000,4.179304,3.554781
0.364500,4.181072,3.535683
0.365000,4.182830,3.516617
0.365500,4.184579,3.497582
0.366000,4.186318,3.478577
0.366500,4.188048,3.459604
0.367000,4.189768,3.440662
0.367500,4.191479,3.421750
0.368000,4.193181,3.402869
0.368500,4.194873,3.384019
0.369000,4.196555,3.365199
0.369500,4.198228,3.346409
0.370000,4.199892,3.327649
0.370500,4.201547,3.308920
0.371000,4.203192,3.290220
0.371500,4.204828,3.271551
0.372000,4.206454,3.252911
0.372500,4.208071,3.234300
0.373000,4.209679,3.215720
0.373500,4.211278,3.197168
0.374000,4.212867,3.178646
0.374500,4.214447,3.160154
0.375000,4.216018,3.141690
0.375500,4.217580,3.123255
0.376000,4.219132,3.104850
0.376500,4.220675,3.086473
0.377000,4.222209,3.068124
0.377500,4.223734,3.049805
0.378000,4.225250,3.031514
0.378500,4.226757,3.013251
0.379000,4.228254,2.995017
0.379500,4.229742,2.976810
0.380000,4.231222,2.958632
0.380500,4.232692,2.940482
0.381000,4.234153,2.922360
0.381500,4.235605,2.904266
0.382000,4.237048,2.886199
0.382500,4.238482,2.868160
0.383000,4.239908,2.850149
0.383500,4.241324,2.832165
0.384000,4.242731,2.814208
0.384500,4.244129,2.796279
0.385000,4.245518,2.778377
0.385500,4.246898,2.760502
0.386000,4.248270,2.742654
0.386500,4.249632,2.724833
0.387000,4.250986,2.707038
0.387500,4.252330,2.689271
0.388000,4.253666,2.671530
0.388500,4.254993,2.653815
0.389000,4.256311,2.636127
0.389500,4.257620,2.618466
0.390000,4.258921,2.600831
0.390500,4.260212,2.583222
0.391000,4.261495,2.565639
0.391500,4.262769,2.548082
0.392000,4.264034,2.530551
0.392500,4.265291,2.513046
0.393000,4.266539,2.495567
0.393500,4.267778,2.478113
0.394000,4.269008,2.460685
0.394500,4.270230,2.443283
0.395000,4.271443,2.425906
0.395500,4.272647,2.408554
0.396000,4.273843,2.391228
0.396500,4.275029,2.373927
0.397000,4.276208,2.356652
0.397500,4.277378,2.339401
0.398000,4.278539,2.322175
0.398500,4.279691,2.304975
0.399000,4.280835,2.287799
0.399500,4.281970,2.270648
0.400000,4.283097,2.253521
0.400500,4.284215,2.236419
0.401000,4.285325,2.219342
0.401500,4.286426,2.202289
0.402000,4.287519,2.185261
0.402500,4.288603,2.168257
0.403000,4.289679,2.151277
0.403500,4.290746,2.134322
0.404000,4.291804,2.117391
0.404500,4.292855,2.100483
0.405000,4.293896,2.083600
0.405500,4.294930,2.066740
0.406000,4.295955,2.049905
0.406500,4.296971,2.033093
0.407000,4.297979,2.016305
0.407500,4.298979,1.999540
0.408000,4.299971,1.982799
0.408500,4.300954,1.966082
0.409000,4.301928,1.949388
0.409500,4.302895,1.932718
0.410000,4.303853,1.916070
0.410500,4.304802,1.899446
0.411000,4.305744,1.882845
0.411500,4.306677,1.866268
0.412000,4.307602,1.849713
0.412500,4.308518,1.833181
0.413000,4.309427,1.816673
0.413500,4.310327,1.800187
0.414000,4.311219,1.783724
0.414500,4.312102,1.767283
0.415000,4.312978,1.750866
0.415500,4.313845,1.734471
0.416000,4.314704,1.718098
0.416500,4.315555,1.701748
0.417000,4.316398,1.685420
0.417500,4.317232,1.669115
0.418000,4.318059,1.652832
0.418500,4.318877,1.636572
0.419000,4.319687,1.620333
0.419500,4.320489,1.604117
0.420000,4.321283,1.587923
0.420500,4.322069,1.571751
0.421000,4.322847,1.555601
0.421500,4.323617,1.539473
0.422000,4.324378,1.523366
0.422500,4.325132,1.507282
0.423000,4.325877,1.491219
0.423500,4.326615,1.475178
0.424000,4.327345,1.459158
0.424500,4.328066,1.443161
0.425000,4.328780,1.427184
0.425500,4.329485,1.411230
0.426000,4.330183,1.395296
0.426500,4.330873,1.379384
0.427000,4.331555,1.363493
0.427500,4.332228,1.347624
0.428000,4.332894,1.331776
0.428500,4.333552,1.315949
0.429000,4.334202,1.300143
0.429500,4.334844,1.284358
0.430000,4.335479,1.268595
0.430500,4.336105,1.252852
0.431000,4.336724,1.237130
0.431500,4.337334,1.221429
0.432000,4.337937,1.205749
0.432500,4.338532,1.190089
0.433000,4.339120,1.174451
0.433500,4.339699,1.158833
0.434000,4.340271,1.143235
0.434500,4.340834,1.127659
0.435000,4.341391,1.112103
0.435500,4.341939,1.096567
0.436000,4.342479,1.081052
0.436500,4.343012,1.065557
0.437000,4.343537,1.050082
0.437500,4.344054,1.034628
0.438000,4.344564,1.019194
0.438500,4.345066,1.003781
0.439000,4.345560,0.988387
0.439500,4.346047,0.973014
0.440000,4.346525,0.957661
0.440500,4.346997,0.942327
0.441000,4.347460,0.927014
0.441500,4.347916,0.911721
0.442000,4.348364,0.896448
0.442500,4.348805,0.881194
0.443000,4.349238,0.865961
0.443500,4.349663,0.850747
0.444000,4.350081,0.835553
0.444500,4.350491,0.820379
0.445000,4.350894,0.805224
0.445500,4.351289,0.790089
0.446000,4.351676,0.774974
0.446500,4.352056,0.759878
0.447000,4.352429,0.744802
0.447500,4.352793,0.729745
0.448000,4.353151,0.714708
0.448500,4.353501,0.699690
0.449000,4.353843,0.684691
0.449500,4.354178,0.669712
0.450000,4.354505,0.654752
0.450500,4.354825,0.639811
0.451000,4.355138,0.624889
0.451500,4.355443,0.609987
0.452000,4.355740,0.595104
0.452500,4.356030,0.580240
0.453000,4.356313,0.565394
0.453500,4.356588,0.550568
0.454000,4.356856,0.535761
0.454500,4.357117,0.520973
0.455000,4.357370,0.506204
0.455500,4.357615,0.491454
0.456000,4.357854,0.476722
